lemma,cefr_level,ipa,def_en,source_list
ball,A1,/bɔːl/,A round object used in games.,langeek_a1
banana,A1,/bəˈnæ.nə/,A long curved yellow fruit.,langeek_a1
bank,A1,/bæŋk/,A place for keeping and lending money.,langeek_a1
bathroom,A1,/ˈbæθ.ruːm/,A room with a toilet and sink.,langeek_a1
be,A1,/biː/,To exist.,langeek_a1
beach,A1,/biːtʃ/,Sandy land next to water.,langeek_a1
beautiful,A1,/ˈbjuː.t̬ɪ.fəl/,Extremely pleasing to the mind or senses.,langeek_a1
become,A1,/bɪˈkʌm/,To start being something.,langeek_a1
bed,A1,/bɛd/,Furniture for sleeping.,langeek_a1
bedroom,A1,/ˈbɛd.ruːm/,A room for sleeping.,langeek_a1
before,A1,/bɪˈfɔːr/,Earlier than something.,langeek_a1
behind,A1,/bɪˈhaɪnd/,At the back of something.,langeek_a1
below,A1,/bɪˈloʊ/,Beneath something.,langeek_a1
bench,A1,/bɛntʃ/,A long seat for multiple people.,langeek_a1
between,A1,/bɪˈtwiːn/,In the middle of two things.,langeek_a1
bicycle,A1,/ˈbaɪ.sɪ.kəl/,A two-wheeled vehicle powered by pedaling.,langeek_a1
big,A1,/bɪɡ/,Above average in size or extent.,langeek_a1
bird,A1,/bɝːd/,An animal with feathers and wings.,langeek_a1
birthday,A1,/ˈbɝːθ.deɪ/,The day and month of your birth in every year.,langeek_a1
black,A1,/blæk/,"Having the color that is the darkest, like most crows.",langeek_a1
blue,A1,/bluː/,Having the color of the ocean or clear sky at daytime.,langeek_a1
boat,A1,/boʊt/,A small vehicle for water travel.,langeek_a1
body,A1,/ˈbɑː.di/,"Our or an animal's hands, legs, head, and every other part together.",langeek_a1
book,A1,/bʊk/,Printed pages bound together for reading.,langeek_a1
boot,A1,/buːt/,A strong shoe covering the ankle.,langeek_a1
both,A1,/boʊθ/,Referring to two things.,langeek_a1
bottle,A1,/ˈbɑː.t̬əl/,A container for liquids.,langeek_a1
box,A1,/bɑːks/,A container for storing things.,langeek_a1
boy,A1,/bɔɪ/,Someone who is a child and a male.,langeek_a1
boyfriend,A1,/ˈbɔɪfrɛnd/,A man that you love and are in a relationship with.,langeek_a1
bread,A1,/brɛd/,A baked food made from flour.,langeek_a1
breakfast,A1,/ˈbrɛk.fəst/,The first meal of the day.,langeek_a1
bring,A1,/brɪŋ/,To take something to a place.,langeek_a1
british,A1,/ˈbrɪ.tɪʃ/,Relating to the U.K. or its people.,langeek_a1
brother,A1,/ˈbrʌð.ɚ/,A male sibling.,langeek_a1
brown,A1,/braʊn/,Having the color of chocolate ice cream.,langeek_a1
brush,A1,/brʌʃ/,A tool for cleaning or grooming.,langeek_a1
build,A1,/bɪld/,To make something by putting parts together.,langeek_a1
building,A1,/ˈbɪl.dɪŋ/,A structure with walls and a roof.,langeek_a1
bus,A1,/bʌs/,A large vehicle for many passengers.,langeek_a1
butter,A1,/ˈbʌ.tɚ/,A soft yellow spread made from cream.,langeek_a1
buy,A1,/baɪ/,To get something by paying money.,langeek_a1
bye,A1,/baɪ/,A word we say when leaving or someone is leaving.,langeek_a1
cabinet,A1,/ˈkæb.ɪ.nət/,Storage furniture with shelves or drawers.,langeek_a1
cake,A1,/keɪk/,A sweet baked dessert.,langeek_a1
call,A1,/kɔːl/,To give a name or title.,langeek_a1
canada,A1,/ˈkæn.ə.də/,A large country in North America.,langeek_a1
canadian,A1,/kəˈneɪ.di.ən/,Relating to Canada or its people.,langeek_a1
car,A1,/kɑːr/,A four-wheeled vehicle for roads.,langeek_a1
carrot,A1,/ˈkæ.rət/,A long orange vegetable.,langeek_a1
cat,A1,/kæt/,A small furry pet with a tail.,langeek_a1
ceiling,A1,/ˈsiː.lɪŋ/,The upper inside surface of a room.,langeek_a1
chair,A1,/tʃɛr/,Furniture for sitting.,langeek_a1
cheap,A1,/tʃiːp/,Having a low price.,langeek_a1
cheek,A1,/tʃiːk/,Any of the two soft sides of our face that are below our eyes.,langeek_a1
cheese,A1,/tʃiːz/,A soft or hard dairy product.,langeek_a1
chicken,A1,/ˈtʃɪ.kɪn/,A farm bird raised for meat and eggs.,langeek_a1
child,A1,/tʃaɪld/,A son or daughter.,langeek_a1
chin,A1,/tʃɪn/,"The lowest part of our face, below the mouth.",langeek_a1
chocolate milk,A1,/ˈtʃɑː.kə.lət mɪlk/,Milk mixed with chocolate.,langeek_a1
choose,A1,/tʃuːz/,To pick one option from a group.,langeek_a1
city,A1,/ˈsɪ.ti/,A large populated area.,langeek_a1
class,A1,/klæs/,A group of students learning together.,langeek_a1
classroom,A1,/ˈklæs.ruːm/,A room where students are taught.,langeek_a1
clean,A1,/kliːn/,"Not having any bacteria, marks, or dirt.",langeek_a1
clock,A1,/klɑːk/,A device used to measure and show time.,langeek_a1
close,A1,/kloʊz/,To shut something.,langeek_a1
closed,A1,/kloʊzd/,"Not letting things, people, etc. go in or out.",langeek_a1
closet,A1,/ˈklɑː.zɪt/,A small storage space in a wall.,langeek_a1
clothes,A1,/kloʊðz/,Things we wear to cover our body.,langeek_a1
cloud,A1,/klaʊd/,A white or gray mass in the sky.,langeek_a1
cloudy,A1,/ˈklaʊ.di/,Full of clouds.,langeek_a1
coat,A1,/koʊt/,Outerwear for warmth or rain.,langeek_a1
coffee,A1,/ˈkɑː.fi/,A hot drink made from coffee beans.,langeek_a1
cold,A1,/koʊld/,Having a low temperature.,langeek_a1
college,A1,/ˈkɑː.lɪdʒ/,A place for higher education.,langeek_a1
come,A1,/kʌm/,To move toward someone or something.,langeek_a1
continent,A1,/ˈkɑːn.tɪ.nənt/,A large landmass on Earth.,langeek_a1
cook,A1,/kʊk/,To prepare food with heat.,langeek_a1
cookie,A1,/ˈkʊk.i/,"A small, sweet baked treat.",langeek_a1
correct,A1,/kəˈrɛkt/,Accurate and in accordance with reality or truth.,langeek_a1
country,A1,/ˈkʌn.tri/,A land with borders and a government.,langeek_a1
cousin,A1,/ˈkʌ.zɪn/,A child of an aunt or uncle.,langeek_a1
cow,A1,/kaʊ/,A farm animal raised for milk and meat.,langeek_a1
cream,A1,/kriːm/,The thick part of milk.,langeek_a1
create,A1,/kriːˈeɪt/,To bring something into existence.,langeek_a1
cucumber,A1,/ˈkjuː.kʌm.bɚ/,A long green fruit used in salads.,langeek_a1
cup,A1,/kʌp/,A small container for drinks.,langeek_a1
cut,A1,/kʌt/,To divide with a sharp object.,langeek_a1
dad,A1,/dæd/,Informal word for father.,langeek_a1
dark,A1,/dɑrk/,(Of a color) having a deep or intense hue.,langeek_a1
daughter,A1,/ˈdɑː.tɚ/,A female child.,langeek_a1
dentist,A1,/ˈdɛn.tɪst/,A person who takes care of teeth.,langeek_a1
desk,A1,/dɛsk/,Furniture for working or writing.,langeek_a1
different,A1,/ˈdɪ.fɚ.rənt/,"Not like another thing or person in form, quality, nature, etc.",langeek_a1
difficult,A1,/ˈdɪ.fɪ.kəlt/,"Needing a lot of work or skill to do, understand, or deal with.",langeek_a1
dining room,A1,/ˈdaɪ.nɪŋ ruːm/,A room for eating meals.,langeek_a1
dinner,A1,/ˈdɪn.ɚ/,"The main meal, usually in the evening.",langeek_a1
dirty,A1,/ˈdɝː.t̬i/,"Having stains, bacteria, marks, or dirt.",langeek_a1
dish,A1,/dɪʃ/,A shallow container for food.,langeek_a1
dislike,A1,/dɪsˈlaɪk/,To not like something.,langeek_a1
do,A1,/duː/,To perform an action.,langeek_a1
doctor,A1,/ˈdɑːk.tɚ/,A person who treats sick people.,langeek_a1
dog,A1,/dɔːɡ/,A loyal pet with four legs and a tail.,langeek_a1
doll,A1,/dɑːl/,A toy shaped like a small baby.,langeek_a1
door,A1,/dɔːr/,A movable barrier to enter or exit.,langeek_a1
downstairs,A1,/ˈdaʊn.stɛrz/,On a lower level of a building.,langeek_a1
dress,A1,/drɛs/,One-piece clothing for women.,langeek_a1
drink,A1,/drɪŋk/,To swallow liquids.,langeek_a1
drive,A1,/draɪv/,To control a moving vehicle.,langeek_a1
driver,A1,/ˈdraɪ.vɚ/,A person who drives a vehicle.,langeek_a1
ear,A1,/ɪr/,Each of the two body parts we use for hearing.,langeek_a1
earth,A1,/ɝːθ/,The planet we live on.,langeek_a1
east,A1,/iːst/,The direction of sunrise.,langeek_a1
easy,A1,/ˈiː.zi/,Needing little skill or effort to do or understand.,langeek_a1
eat,A1,/iːt/,To chew and swallow food.,langeek_a1
egg,A1,/ɛɡ/,A round food item produced by chickens.,langeek_a1
eight,A1,/eɪt/,The number 8.,langeek_a1
eighteen,A1,/ˈeɪˌtiːn/,The number 18.,langeek_a1
eighty,A1,/ˈeɪti/,The number 80.,langeek_a1
elephant,A1,/ˈɛ.lɪ.fənt/,A huge animal with a trunk.,langeek_a1
elevator,A1,/ˈɛ.lɪ.veɪ.tɚ/,A moving box for going up or down.,langeek_a1
eleven,A1,/ɪˈlɛvən/,The number 11.,langeek_a1
else,A1,/ɛls/,"In addition, other than.",langeek_a1
engineer,A1,/ˌɛn.dʒɪˈnɪr/,A person who designs or builds things.,langeek_a1
eraser,A1,/ɪˈreɪ.sɚ/,A tool for removing pencil marks.,langeek_a1
europe,A1,/ˈjʊr.əp/,A small continent west of Asia.,langeek_a1
european,A1,/ˌjʊr.əˈpiː.ən/,Related to Europe or its people.,langeek_a1
evening,A1,/ˈiːvnɪŋ/,The time of day between sunset and complete darkness.,langeek_a1
excited,A1,/ɪkˈsaɪ.tɪd/,Feeling happy and energetic.,langeek_a1
expensive,A1,/ɪkˈspɛn.sɪv/,Having a high price.,langeek_a1
explain,A1,/ɪkˈspleɪn/,To make something clear.,langeek_a1
eye,A1,/aɪ/,A body part on our face that we use for seeing.,langeek_a1
fall,A1,/fɔːl/,To move quickly downward.,langeek_a1
false,A1,/fɔːls/,Not according to reality or facts.,langeek_a1
family,A1,/ˈfæ.mə.li/,Relatives by blood or marriage.,langeek_a1
far,A1,/fɑːr/,At a great distance.,langeek_a1
fast,A1,/fæst/,"Having a high speed when doing something, especially moving.",langeek_a1
fat,A1,/fæt/,Weighing more than is healthy.,langeek_a1
father,A1,/ˈfɑː.ðɚ/,A male parent.,langeek_a1
february,A1,/ˈfɛb.ruˌɛr.i/,"The second month of the year, after January and before March.",langeek_a1
feel,A1,/fiːl/,To sense or experience emotions.,langeek_a1
fifteen,A1,/ˈfɪfˌtiːn/,The number 15.,langeek_a1
fifty,A1,/ˈfɪfti/,The number 50.,langeek_a1
fill,A1,/fɪl/,To make full.,langeek_a1
find,A1,/faɪnd/,To discover something lost.,langeek_a1
fine,A1,/faɪn/,"Not ill, injured, or bad.",langeek_a1
finish,A1,/ˈfɪ.nɪʃ/,To bring something to an end.,langeek_a1
fire,A1,/faɪr/,Burning that creates heat and light.,langeek_a1
fish,A1,/fɪʃ/,A water animal with fins and gills.,langeek_a1
five,A1,/faɪv/,The number 5.,langeek_a1
floor,A1,/flɔːr/,The surface we walk on in a room.,langeek_a1
flower,A1,/ˈflaʊ.ɚ/,A flower is the colorful part of a plant that makes seeds or fruit.,langeek_a1
fly,A1,/flaɪ/,To move through the air.,langeek_a1
food,A1,/fuːd/,What people and animals eat.,langeek_a1
foot,A1,/fʊt/,The body part at the end of our leg that we stand and walk on.,langeek_a1
forest,A1,/ˈfɔː.rɪst/,A large area of trees.,langeek_a1
fork,A1,/fɔːrk/,A tool with prongs for eating.,langeek_a1
forty,A1,/ˈfɔːrti/,The number 40.,langeek_a1
four,A1,/fɔːr/,The number 4.,langeek_a1
fourteen,A1,/ˈfɔːrˌtiːn/,The number 14.,langeek_a1
france,A1,/fræns/,A European country with famous landmarks.,langeek_a1
french,A1,/frɛntʃ/,Relating to France or its people.,langeek_a1
friday,A1,/ˈfraɪdeɪ/,The day that comes after Thursday.,langeek_a1
fridge,A1,/frɪdʒ/,A device to keep food cold.,langeek_a1
fruit,A1,/fruːt/,Edible plant growth from trees or bushes.,langeek_a1
game,A1,/ɡeɪm/,A fun activity using imagination or toys.,langeek_a1
garden,A1,/ˈɡɑːr.dən/,Land near a house for growing plants.,langeek_a1
german,A1,/ˈdʒɝː.mən/,Relating to Germany or its people.,langeek_a1
germany,A1,/ˈdʒɝː.mə.ni/,A country in central Europe.,langeek_a1
get,A1,/ɡɛt/,To experience a condition.,langeek_a1
girlfriend,A1,/ˈɡɝːlfrɛnd/,A lady that you love and are in a relationship with.,langeek_a1
give,A1,/ɡɪv/,To hand something to someone.,langeek_a1
glass,A1,/ɡlæs/,A container for drinks.,langeek_a1
go,A1,/ɡoʊ/,To move to another place.,langeek_a1
good afternoon,A1,/ɡʊd ˌæftɚˈnun/,A greeting used in the afternoon.,langeek_a1
good evening,A1,/ɡʊd ˈivnɪŋ/,A greeting used in the evening.,langeek_a1
good morning,A1,/ɡʊd ˈmɔrnɪŋ/,A greeting used in the morning.,langeek_a1
good night,A1,/ɡʊd ˈnaɪt/,A word we say to say goodbye at night or before bed.,langeek_a1
goodbye,A1,/ɡʊdˈbaɪ/,A word we say when leaving or ending a phone call.,langeek_a1
grandchild,A1,/ˈɡræn.tʃaɪld/,A person’s child’s child.,langeek_a1
grandfather,A1,/ˈɡræn.fɑː.ðɚ/,A mother’s or father’s dad.,langeek_a1
grandmother,A1,/ˈɡræn.mʌð.ɚ/,A mother’s or father’s mom.,langeek_a1
grape,A1,/ɡreɪp/,A small round fruit growing in bunches.,langeek_a1
green,A1,/ɡriːn/,Having the color of fresh grass or most plant leaves.,langeek_a1
guitar,A1,/ɡɪˈtɑːr/,A six-string instrument played by plucking.,langeek_a1
hair,A1,/hɛr/,The thin thread-like things that grow on our head.,langeek_a1
half,A1,/hæf/,either one of two equal parts of a thing,langeek_a1
happy,A1,/ˈhæ.pi/,Feeling good emotionally.,langeek_a1
hat,A1,/hæt/,Clothing worn on the head.,langeek_a1
hate,A1,/heɪt/,To strongly dislike something.,langeek_a1
have,A1,/hæv/,To own or consume something.,langeek_a1
head,A1,/hɛd/,"The top part of the body, where the brain and face are located.",langeek_a1
hear,A1,/hɪr/,To notice a sound.,langeek_a1
heavy,A1,/ˈhɛ.vi/,Having a lot of weight and not easy to move or pick up.,langeek_a1
helicopter,A1,/ˈhɛ.lɪ.kɑːp.tɚ/,A flying vehicle with rotating blades.,langeek_a1
hello,A1,/hɛˈloʊ/,A word we say when greeting someone or starting a phone call.,langeek_a1
help,A1,/hɛlp/,To assist someone.,langeek_a1
here,A1,/hɪr/,At this place.,langeek_a1
hi,A1,/haɪ/,A casual word used to greet someone.,langeek_a1
hiking,A1,/ˈhaɪ.kɪŋ/,Walking long distances in nature for fun.,langeek_a1
history,A1,/ˈhɪs.tɚ.i/,The study of past events.,langeek_a1
hobby,A1,/ˈhɑː.bi/,A fun activity done in free time.,langeek_a1
home,A1,/hoʊm/,The place where we live.,langeek_a1
homework,A1,/ˈhoʊm.wɝːk/,Schoolwork done at home.,langeek_a1
honey,A1,/ˈhʌ.ni/,A sweet liquid made by bees.,langeek_a1
horse,A1,/hɔːrs/,A large animal used for riding and racing.,langeek_a1
hospital,A1,/ˈhɑː.spɪ.təl/,A place for medical care.,langeek_a1
hot,A1,/hɑːt/,Having a high temperature.,langeek_a1
hotel,A1,/hoʊˈtɛl/,A place to stay while traveling.,langeek_a1
house,A1,/haʊs/,A building where people live.,langeek_a1
how,A1,/haʊ/,Asking about a way or manner.,langeek_a1
hundred,A1,/ˈhʌndrəd/,The number 100.,langeek_a1
hungry,A1,/ˈhʌŋ.ɡri/,Needing food.,langeek_a1
husband,A1,/ˈhʌz.bənd/,A married man.,langeek_a1
ice,A1,/aɪs/,Frozen water.,langeek_a1
ice cream,A1,/ˈaɪs kriːm/,A cold sweet dessert made from milk.,langeek_a1
in,A1,/ɪn/,Inside something.,langeek_a1
incorrect,A1,/ˌɪn.kəˈrɛkt/,Having mistakes or inaccuracies.,langeek_a1
introduce,A1,/ˌɪn.trəˈduːs/,To say someone’s name for the first time.,langeek_a1
island,A1,/ˈaɪ.lənd/,Land surrounded by water.,langeek_a1
italian,A1,/ɪˈtæl.jən/,Relating to Italy or its people.,langeek_a1
italy,A1,/ˈɪ.t̬əl.i/,A European country with a long coastline.,langeek_a1
jacket,A1,/ˈdʒæk.ɪt/,A short coat with sleeves.,langeek_a1
jam,A1,/dʒæm/,A thick sweet spread made from fruit.,langeek_a1
january,A1,/ˈdʒæn.juˌɛr.i/,"The first month of the year, after December and before February.",langeek_a1
jeans,A1,/dʒiːnz/,Denim pants for casual wear.,langeek_a1
job,A1,/dʒɑːb/,Work we do to earn money.,langeek_a1
juice,A1,/dʒuːs/,A drink made from fruits or vegetables.,langeek_a1
july,A1,/dʒʊˈlaɪ/,"The seventh month of the year, after June and before August.",langeek_a1
jump,A1,/dʒʌmp/,To push off the ground into the air.,langeek_a1
june,A1,/dʒuːn/,"The sixth month of the year, after May and before July.",langeek_a1
kitchen,A1,/ˈkɪtʃ.ən/,A room for cooking food.,langeek_a1
knee,A1,/niː/,The body part in the middle of the leg that helps it bend.,langeek_a1
knife,A1,/naɪf/,A sharp tool for cutting.,langeek_a1
know,A1,/noʊ/,To have information.,langeek_a1
language,A1,/ˈlæŋ.ɡwɪdʒ/,A system of spoken or written communication.,langeek_a1
last name,A1,/læst neɪm/,"The name we share with our family, parents, or siblings.",langeek_a1
learn,A1,/lɝːn/,To gain knowledge or skills.,langeek_a1
left,A1,/lɛft/,Toward the left side.,langeek_a1
leg,A1,/lɛɡ/,Each of the two long body parts that we use when walking.,langeek_a1
lemon,A1,/ˈlɛ.mən/,A sour yellow fruit.,langeek_a1
let,A1,/lɛt/,To allow something to happen.,langeek_a1
light,A1,/laɪt/,Having very little weight and easy to move or pick up.,langeek_a1
like,A1,/laɪk/,To enjoy or find something good.,langeek_a1
lion,A1,/ˈlaɪ.ən/,A big wild cat with a mane.,langeek_a1
lip,A1,/lɪp/,Each of the two soft body parts that surround our mouth.,langeek_a1
listen,A1,/ˈlɪ.sən/,To focus on a sound.,langeek_a1
living room,A1,/ˈlɪv.ɪŋ ruːm/,A room for relaxing or socializing.,langeek_a1
look,A1,/lʊk/,To turn your eyes toward something.,langeek_a1
love,A1,/lʌv/,To care deeply about someone or something.,langeek_a1
low,A1,/loʊ/,"Small or below average in degree, value, level, or amount.",langeek_a1
lunch,A1,/lʌntʃ/,A meal eaten in the middle of the day.,langeek_a1
magazine,A1,/ˈmæɡ.əˌziːn/,A colorful thin book with stories and pictures.,langeek_a1
make,A1,/meɪk/,To create or build something.,langeek_a1
man,A1,/mæn/,A person who is a male adult.,langeek_a1
map,A1,/mæp/,An image showing locations.,langeek_a1
march,A1,/mɑrtʃ/,"The third month of the year, after February and before April.",langeek_a1
marker,A1,/ˈmɑːr.kɚ/,A pen with a thick tip.,langeek_a1
married,A1,/ˈmær.id/,Having a wife or husband.,langeek_a1
may,A1,/meɪ/,"The fifth month of the year, after April and before June.",langeek_a1
meal,A1,/miːl/,Food eaten at different times of day.,langeek_a1
meat,A1,/miːt/,Animal flesh used as food.,langeek_a1
milk,A1,/mɪlk/,"A white liquid from cows, goats, or sheep.",langeek_a1
mom,A1,/mɑːm/,Informal word for mother.,langeek_a1
monday,A1,/ˈmʌndeɪ/,The day that comes after Sunday.,langeek_a1
money,A1,/ˈmʌ.ni/,What we use to buy and sell things.,langeek_a1
moon,A1,/muːn/,A round object seen at night.,langeek_a1
morning,A1,/ˈmɔːrnɪŋ/,The time of day between sunrise and noon.,langeek_a1
mother,A1,/ˈmʌð.ɚ/,A female parent.,langeek_a1
motorcycle,A1,/ˈmoʊ.t̬ɚˌsaɪ.kəl/,A two-wheeled engine-powered vehicle.,langeek_a1
mountain,A1,/ˈmaʊn.tən/,A tall natural landform.,langeek_a1
mouse,A1,/maʊs/,A tiny animal with a long tail.,langeek_a1
mouth,A1,/maʊθ/,"The body part used for eating, speaking, and breathing.",langeek_a1
movie,A1,/ˈmuː.vi/,A story told with moving pictures.,langeek_a1
movie theater,A1,/ˈmuː.vi ˈθiː.ə.tɚ/,A place to watch movies.,langeek_a1
museum,A1,/mjuːˈziː.əm/,A place for cultural and historical items.,langeek_a1
music,A1,/ˈmjuː.zɪk/,Sounds arranged in a pleasant way.,langeek_a1
name,A1,/neɪm/,The word someone or something is called or known by.,langeek_a1
nature,A1,/ˈneɪ.tʃɚ/,Everything natural on Earth.,langeek_a1
near,A1,/nɪr/,Close to something.,langeek_a1
neck,A1,/nɛk/,The body part that connects the head to the shoulders.,langeek_a1
need,A1,/niːd/,To require something important.,langeek_a1
nephew,A1,/ˈnɛ.fju/,A sibling’s son.,langeek_a1
never,A1,/ˈnɛ.vɚ/,Not at any time.,langeek_a1
new,A1,/nuː/,"Recently invented, made, etc.",langeek_a1
newspaper,A1,/ˈnuːzˌpeɪ.pɚ/,Printed sheets with news and information.,langeek_a1
next,A1,/nɛkst/,"Coming immediately after a person or thing in time, place, or rank.",langeek_a1
next to,A1,/nɛkst tuː/,Very close to something.,langeek_a1
niece,A1,/niːs/,A sibling’s daughter.,langeek_a1
nine,A1,/naɪn/,The number 9.,langeek_a1
nineteen,A1,/ˈnaɪnˌtiːn/,The number 19.,langeek_a1
ninety,A1,/ˈnaɪnti/,The number 90.,langeek_a1
no,A1,/noʊ/,Used to show disagreement or that something is untrue.,langeek_a1
north,A1,/nɔːrθ/,The direction left of sunrise.,langeek_a1
notebook,A1,/ˈnoʊt.bʊk/,A small book for writing or drawing.,langeek_a1
november,A1,/noʊˈvɛm.bɚ/,"The 11th month of the year, after October and before December.",langeek_a1
now,A1,/naʊ/,At this moment.,langeek_a1
nurse,A1,/nɝːs/,Someone trained to care for sick people.,langeek_a1
o'clock,A1,/əˈklɑːk/,Put after numbers one to twelve to show the exact hour.,langeek_a1
october,A1,/ɑkˈtoʊ.bɚ/,"The tenth month of the year, after September and before November.",langeek_a1
of course,A1,/ʌv ˈkɔrs/,"Certainly, without a doubt.",langeek_a1
often,A1,/ˈɔː.fən/,Many times.,langeek_a1
ok,A1,/oʊˈkeɪ/,Used to show agreement.,langeek_a1
old,A1,/oʊld/,(Of a thing) having been used or existing for a long period of time.,langeek_a1
on,A1,/ɑːn/,Attached to a surface or a date.,langeek_a1
one,A1,/wʌn/,The number 1.,langeek_a1
onion,A1,/ˈʌn.jən/,A strong-smelling vegetable with layers.,langeek_a1
open,A1,/ˈoʊ.pən/,Letting people or things pass through.,langeek_a1
orange,A1,/ˈɔrɪndʒ/,Having the color of carrots or pumpkins.,langeek_a1
outside,A1,/ˈaʊt.saɪd/,"In an open area, not inside.",langeek_a1
over,A1,/ˈoʊ.vɚ/,Higher than something.,langeek_a1
pajamas,A1,/pəˈdʒæ.məz/,Clothes worn for sleeping.,langeek_a1
pants,A1,/pænts/,Clothing that covers both legs.,langeek_a1
parent,A1,/ˈpɛr.ənt/,A mother or father.,langeek_a1
park,A1,/pɑːrk/,A public place with grass and trees.,langeek_a1
part,A1,/pɑːrt/,A piece of something bigger.,langeek_a1
passport,A1,/ˈpæs.pɔrt/,"someone as a citizen of a particular country, needed when leaving a",langeek_a1
pay,A1,/peɪ/,To give money for goods or services.,langeek_a1
peach,A1,/piːtʃ/,A soft juicy fruit with a pit.,langeek_a1
pen,A1,/pɛn/,A tool for writing with ink.,langeek_a1
pencil,A1,/ˈpɛn.səl/,A tool for writing or drawing with lead.,langeek_a1
people,A1,/ˈpiːpəl/,"Human beings as a group, including men, women, and children.",langeek_a1
pepper,A1,/ˈpɛ.pɚ/,A spicy seasoning.,langeek_a1
person,A1,/ˈpɝːsən/,"One human being, when gender or age is not relevant.",langeek_a1
phone number,A1,/foʊn ˈnʌm.bɚ/,The number used for calling someone's phone.,langeek_a1
piano,A1,/piˈæn.oʊ/,A keyboard instrument played by pressing keys.,langeek_a1
pig,A1,/pɪɡ/,A fat farm animal with a curly tail.,langeek_a1
pillow,A1,/ˈpɪl.oʊ/,A soft cushion for the head.,langeek_a1
pink,A1,/pɪŋk/,Having the color of strawberry ice cream.,langeek_a1
pizza,A1,/ˈpiːt.sə/,A flatbread topped with cheese and tomatoes.,langeek_a1
place,A1,/pleɪs/,A location where something is.,langeek_a1
plan,A1,/plæn/,To decide ahead of time.,langeek_a1
plate,A1,/pleɪt/,A flat dish for food.,langeek_a1
play,A1,/pleɪ/,To do an activity for fun.,langeek_a1
please,A1,/pliːz/,Used to politely ask for something.,langeek_a1
police,A1,/pəˈliːs/,People who enforce laws.,langeek_a1
police officer,A1,/pəˈliːs ˈɑː.fɪ.sɚ/,Someone who protects people and enforces laws.,langeek_a1
post office,A1,/ˈpoʊst ˈɑː.fɪs/,A place to send letters and packages.,langeek_a1
potato,A1,/pəˈteɪ.toʊ/,A round vegetable grown underground.,langeek_a1
prepare,A1,/prɪˈpɛr/,To get ready for something.,langeek_a1
preschool,A1,/ˈpriː.skuːl/,A place for young children to learn and play.,langeek_a1
purple,A1,/ˈpɝːpəl/,Having the color of most ripe eggplants.,langeek_a1
purse,A1,/pɝːs/,A small bag for carrying items.,langeek_a1
put,A1,/pʊt/,To move something to a place.,langeek_a1
rabbit,A1,/ˈræb.ɪt/,A small animal with long ears and soft fur.,langeek_a1
rain,A1,/reɪn/,Water falling from the sky.,langeek_a1
rainy,A1,/ˈreɪ.ni/,Having lots of rain.,langeek_a1
read,A1,/riːd/,To understand written words.,langeek_a1
ready,A1,/ˈrɛ.di/,Prepared for a situation or task.,langeek_a1
