lemma,cefr_level,ipa,def_en,source_list
candid,C2,/ˈkæn.dɪd/,Honest and straightforward.,chatgpt_c2
canny,C2,/ˈkæn.i/,Showing good judgement.,chatgpt_c2
capitulate,C2,/kəˈpɪtʃ.ʊ.leɪt/,To surrender or give in.,chatgpt_c2
capricious,C2,/kəˈprɪʃ.əs/,Changing suddenly and unpredictably.,chatgpt_c2
catalyst,C2,/ˈkæt.əl.ɪst/,Something that causes significant change.,chatgpt_c2
caustic,C2,/ˈkɔː.stɪk/,Bitterly critical or sarcastic.,chatgpt_c2
censure,C2,/ˈsen.ʃər/,To strongly criticize.,chatgpt_c2
chastise,C2,/tʃæsˈtaɪz/,To criticize or punish severely.,chatgpt_c2
circumspect,C2,/ˈsɜː.kəm.spekt/,Careful to avoid risk or mistakes.,chatgpt_c2
circumvent,C2,/ˌsɜː.kəmˈvent/,To avoid or get around.,chatgpt_c2
clamour,C2,/ˈklæm.ər/,A loud demand or protest.,chatgpt_c2
coalesce,C2,/ˌkəʊ.əˈles/,To come together into one whole.,chatgpt_c2
cogent,C2,/ˈkəʊ.dʒənt/,Clear and convincing.,chatgpt_c2
collate,C2,/kəˈleɪt/,To collect and arrange information.,chatgpt_c2
complacent,C2,/kəmˈpleɪ.sənt/,Too satisfied with oneself.,chatgpt_c2
compunction,C2,/kəmˈpʌŋk.ʃən/,A feeling of guilt or regret.,chatgpt_c2
concomitant,C2,/kənˈkɒm.ɪ.tənt/,Happening naturally alongside something else.,chatgpt_c2
conducive,C2,/kənˈdjuː.sɪv/,Helping to produce a result.,chatgpt_c2
conflation,C2,/kənˈfleɪ.ʃən/,The merging of different ideas or things.,chatgpt_c2
conjecture,C2,/kənˈdʒek.tʃər/,An opinion based on incomplete evidence.,chatgpt_c2
consternation,C2,/ˌkɒn.stəˈneɪ.ʃən/,A feeling of anxiety or shock.,chatgpt_c2
construe,C2,/kənˈstruː/,To interpret something in a particular way.,chatgpt_c2
contentious,C2,/kənˈten.ʃəs/,Likely to cause argument or disagreement.,chatgpt_c2
contrite,C2,/kənˈtraɪt/,Feeling deeply sorry for wrongdoing.,chatgpt_c2
convoluted,C2,/ˈkɒn.və.luː.tɪd/,Extremely complex and hard to follow.,chatgpt_c2
copious,C2,/ˈkəʊ.pi.əs/,Existing in large amounts.,chatgpt_c2
corroborate,C2,/kəˈrɒb.ə.reɪt/,To confirm something with evidence.,chatgpt_c2
credence,C2,/ˈkriː.dəns/,Belief in something.,chatgpt_c2
credulous,C2,/ˈkred.jʊ.ləs/,Too willing to believe things.,chatgpt_c2
culminate,C2,/ˈkʌl.mɪ.neɪt/,To reach the highest point.,chatgpt_c2
cursory,C2,/ˈkɜː.sər.i/,Quick and not detailed.,chatgpt_c2
dearth,C2,/dɜːθ/,A serious lack of something.,chatgpt_c2
debacle,C2,/deɪˈbɑː.kəl/,A complete and embarrassing failure.,chatgpt_c2
debilitate,C2,/dɪˈbɪl.ɪ.teɪt/,To weaken severely.,chatgpt_c2
deference,C2,/ˈdef.ər.əns/,Respect shown toward someone or something.,chatgpt_c2
deleterious,C2,/ˌdel.əˈtɪə.ri.əs/,Harmful or damaging.,chatgpt_c2
delineate,C2,/dɪˈlɪn.i.eɪt/,To describe precisely.,chatgpt_c2
demure,C2,/dɪˈmjʊər/,Shy and modest.,chatgpt_c2
denigrate,C2,/ˈden.ɪ.ɡreɪt/,To unfairly criticize or belittle.,chatgpt_c2
deride,C2,/dɪˈraɪd/,To mock or ridicule.,chatgpt_c2
desiccate,C2,/ˈdes.ɪ.keɪt/,To dry out completely.,chatgpt_c2
despondent,C2,/dɪˈspɒn.dənt/,Very unhappy and without hope.,chatgpt_c2
desultory,C2,/ˈdez.əl.tər.i/,Lacking plan or enthusiasm.,chatgpt_c2
deterrent,C2,/dɪˈter.ənt/,Something that discourages action.,chatgpt_c2
detrimental,C2,/ˌdet.rɪˈmen.təl/,Causing harm or damage.,chatgpt_c2
diaphanous,C2,/daɪˈæf.ə.nəs/,Light and delicate.,chatgpt_c2
diatribe,C2,/ˈdaɪ.ə.traɪb/,An angry critical speech or text.,chatgpt_c2
didactic,C2,/daɪˈdæk.tɪk/,Intended to teach in a moralizing way.,chatgpt_c2
diffident,C2,/ˈdɪf.ɪ.dənt/,Shy and lacking self-confidence.,chatgpt_c2
diligent,C2,/ˈdɪl.ɪ.dʒənt/,Careful and hardworking.,chatgpt_c2
disabuse,C2,/ˌdɪs.əˈbjuːz/,To free from a mistaken belief.,chatgpt_c2
discerning,C2,/dɪˈsɜː.nɪŋ/,Showing good judgement and taste.,chatgpt_c2
discredit,C2,/dɪsˈkred.ɪt/,To harm reputation.,chatgpt_c2
disdain,C2,/dɪsˈdeɪn/,To regard with contempt.,chatgpt_c2
disentangle,C2,/ˌdɪs.ɪnˈtæŋ.ɡəl/,To free from confusion.,chatgpt_c2
disingenuous,C2,/ˌdɪs.ɪnˈdʒen.ju.əs/,Not sincere or honest.,chatgpt_c2
disparage,C2,/dɪˈspær.ɪdʒ/,To criticize someone unfairly.,chatgpt_c2
disparate,C2,/ˈdɪs.pər.ət/,Very different from each other.,chatgpt_c2
dissonance,C2,/ˈdɪs.ən.əns/,A lack of agreement or harmony.,chatgpt_c2
divergent,C2,/daɪˈvɜː.dʒənt/,Developing in different directions.,chatgpt_c2
dogged,C2,/ˈdɒɡ.ɪd/,Showing stubborn determination.,chatgpt_c2
dogmatic,C2,/dɒɡˈmæt.ɪk/,Expressing opinions as unquestionable facts.,chatgpt_c2
dubiety,C2,/djuːˈbaɪ.ə.ti/,A state of doubt.,chatgpt_c2
ebullient,C2,/ɪˈbʌl.i.ənt/,Cheerful and full of energy.,chatgpt_c2
eclectic,C2,/ɪˈklek.tɪk/,Drawing ideas from varied sources.,chatgpt_c2
efface,C2,/ɪˈfeɪs/,To erase or remove.,chatgpt_c2
efficacy,C2,/ˈef.ɪ.kə.si/,The ability to produce a desired result.,chatgpt_c2
effrontery,C2,/ɪˈfrʌn.tər.i/,Shameless boldness.,chatgpt_c2
egregious,C2,/ɪˈɡriː.dʒəs/,Extremely bad or shocking.,chatgpt_c2
elicit,C2,/iˈlɪs.ɪt/,To draw out a response or information.,chatgpt_c2
elucidate,C2,/iˈluː.sɪ.deɪt/,To explain something clearly.,chatgpt_c2
emulate,C2,/ˈem.jə.leɪt/,To try to equal or surpass.,chatgpt_c2
encroach,C2,/ɪnˈkrəʊtʃ/,To gradually take over.,chatgpt_c2
endemic,C2,/enˈdem.ɪk/,Regularly found in a place or group.,chatgpt_c2
enigma,C2,/ɪˈnɪɡ.mə/,A mysterious puzzle.,chatgpt_c2
enmity,C2,/ˈen.mə.ti/,Deep hostility or hatred.,chatgpt_c2
entail,C2,/ɪnˈteɪl/,To involve necessarily.,chatgpt_c2
entreat,C2,/ɪnˈtriːt/,To beg earnestly.,chatgpt_c2
ephemeral,C2,/ɪˈfem.ər.əl/,Lasting a very short time.,chatgpt_c2
epitome,C2,/ɪˈpɪt.ə.mi/,A perfect example of something.,chatgpt_c2
equanimity,C2,/ˌek.wəˈnɪm.ə.ti/,Calmness under stress.,chatgpt_c2
equivocal,C2,/ɪˈkwɪv.ə.kəl/,Open to more than one interpretation.,chatgpt_c2
equivocate,C2,/ɪˈkwɪv.ə.keɪt/,To speak unclearly to avoid commitment.,chatgpt_c2
erstwhile,C2,/ˈɜːst.waɪl/,Former or previous.,chatgpt_c2
erudite,C2,/ˈer.jʊ.daɪt/,Having deep scholarly knowledge.,chatgpt_c2
eschew,C2,/ɪsˈtʃuː/,To deliberately avoid something.,chatgpt_c2
esoteric,C2,/ˌiː.səˈter.ɪk/,Understood by only a small group.,chatgpt_c2
ethos,C2,/ˈiː.θɒs/,The characteristic spirit of a culture.,chatgpt_c2
evince,C2,/ɪˈvɪns/,To show clearly.,chatgpt_c2
exacerbate,C2,/ɪɡˈzæs.ə.beɪt/,To make a problem worse.,chatgpt_c2
exacting,C2,/ɪɡˈzæk.tɪŋ/,Demanding great care and precision.,chatgpt_c2
exculpate,C2,/ˈeks.kʌl.peɪt/,To clear from blame.,chatgpt_c2
exhort,C2,/ɪɡˈzɔːt/,To strongly encourage.,chatgpt_c2
exonerate,C2,/ɪɡˈzɒn.ə.reɪt/,To clear someone from blame.,chatgpt_c2
expedient,C2,/ɪkˈspiː.di.ənt/,Useful though possibly not morally right.,chatgpt_c2
extol,C2,/ɪkˈstəʊl/,To praise highly.,chatgpt_c2
facetious,C2,/fəˈsiː.ʃəs/,Treating serious issues with inappropriate humour.,chatgpt_c2
fallacious,C2,/fəˈleɪ.ʃəs/,Based on false reasoning.,chatgpt_c2
fastidious,C2,/fæsˈtɪd.i.əs/,Very attentive to detail and cleanliness.,chatgpt_c2
fatuous,C2,/ˈfætʃ.u.əs/,Silly and pointless.,chatgpt_c2
fervent,C2,/ˈfɜː.vənt/,Showing strong feeling.,chatgpt_c2
flagrant,C2,/ˈfleɪ.ɡrənt/,Shockingly obvious and offensive.,chatgpt_c2
flippant,C2,/ˈflɪp.ənt/,Not showing proper seriousness.,chatgpt_c2
florid,C2,/ˈflɒr.ɪd/,Excessively elaborate.,chatgpt_c2
forbearance,C2,/fɔːˈbeə.rəns/,Patient self control.,chatgpt_c2
fortuitous,C2,/fɔːˈtjuː.ɪ.təs/,Happening by chance in a lucky way.,chatgpt_c2
fractious,C2,/ˈfræk.ʃəs/,Irritable and difficult to control.,chatgpt_c2
frivolous,C2,/ˈfrɪv.əl.əs/,Not serious or important.,chatgpt_c2
galvanize,C2,/ˈɡæl.və.naɪz/,To stimulate into action.,chatgpt_c2
garrulous,C2,/ˈɡær.ə.ləs/,Talking too much about trivial matters.,chatgpt_c2
germane,C2,/dʒɜːˈmeɪn/,Relevant to a subject.,chatgpt_c2
grandiose,C2,/ˈɡræn.di.əʊs/,Impressive but unrealistic.,chatgpt_c2
gratuitous,C2,/ɡrəˈtjuː.ɪ.təs/,Unnecessary or not justified.,chatgpt_c2
gregarious,C2,/ɡrɪˈɡeə.ri.əs/,Sociable and enjoying company.,chatgpt_c2
hackneyed,C2,/ˈhæk.niːd/,Overused and lacking originality.,chatgpt_c2
hapless,C2,/ˈhæp.ləs/,Unlucky or unfortunate.,chatgpt_c2
harangue,C2,/həˈræŋ/,A forceful and angry speech.,chatgpt_c2
harbinger,C2,/ˈhɑː.bɪn.dʒər/,A sign that something is coming.,chatgpt_c2
haughty,C2,/ˈhɔː.ti/,Proud and showing superiority.,chatgpt_c2
hegemony,C2,/hɪˈdʒem.ə.ni/,Dominance by one group over others.,chatgpt_c2
heinous,C2,/ˈheɪ.nəs/,Extremely wicked or evil.,chatgpt_c2
heretical,C2,/həˈret.ɪ.kəl/,Against accepted beliefs.,chatgpt_c2
hinder,C2,/ˈhɪn.dər/,To make progress difficult.,chatgpt_c2
homogeneous,C2,/ˌhəʊ.məˈdʒiː.ni.əs/,Uniform in composition.,chatgpt_c2
hubris,C2,/ˈhjuː.brɪs/,Excessive pride leading to failure.,chatgpt_c2
hyperbole,C2,/haɪˈpɜː.bə.li/,Exaggeration for effect.,chatgpt_c2
hypocrisy,C2,/hɪˈpɒk.rɪ.si/,Pretending to have virtues one lacks.,chatgpt_c2
iconoclast,C2,/aɪˈkɒn.ə.klæst/,Someone who challenges established beliefs.,chatgpt_c2
iconoclastic,C2,/aɪˌkɒn.əˈklæs.tɪk/,Challenging established beliefs.,chatgpt_c2
idiosyncratic,C2,/ˌɪd.i.ə.sɪŋˈkræt.ɪk/,Unusual and specific to one person.,chatgpt_c2
idyllic,C2,/ɪˈdɪl.ɪk/,Extremely peaceful and pleasant.,chatgpt_c2
illicit,C2,/ɪˈlɪs.ɪt/,Forbidden by law.,chatgpt_c2
imbue,C2,/ɪmˈbjuː/,To inspire or fill with a feeling.,chatgpt_c2
immutable,C2,/ɪˈmjuː.tə.bəl/,Unable to change.,chatgpt_c2
impasse,C2,/æmˈpæs/,A situation with no progress.,chatgpt_c2
impecunious,C2,/ˌɪm.pɪˈkjuː.ni.əs/,Having little or no money.,chatgpt_c2
imperative,C2,/ɪmˈper.ə.tɪv/,Extremely important or urgent.,chatgpt_c2
imperious,C2,/ɪmˈpɪə.ri.əs/,Arrogant and domineering.,chatgpt_c2
impertinent,C2,/ɪmˈpɜː.tɪ.nənt/,Rude or not relevant.,chatgpt_c2
impetuous,C2,/ɪmˈpetʃ.u.əs/,Acting without thinking.,chatgpt_c2
impinge,C2,/ɪmˈpɪndʒ/,To have an effect often negative.,chatgpt_c2
implacable,C2,/ɪmˈplæk.ə.bəl/,Impossible to satisfy or stop.,chatgpt_c2
implausible,C2,/ɪmˈplɔː.zə.bəl/,Unlikely to be true.,chatgpt_c2
impute,C2,/ɪmˈpjuːt/,To attribute responsibility.,chatgpt_c2
inadvertent,C2,/ˌɪn.ədˈvɜː.tənt/,Accidental and not intended.,chatgpt_c2
incisive,C2,/ɪnˈsaɪ.sɪv/,Clear and sharply analytical.,chatgpt_c2
incongruous,C2,/ɪnˈkɒŋ.ɡru.əs/,Strange because unsuitable or inconsistent.,chatgpt_c2
indefatigable,C2,/ˌɪn.dɪˈfæt.ɪ.ɡə.bəl/,Never tiring and showing constant effort.,chatgpt_c2
indict,C2,/ɪnˈdaɪt/,To formally accuse of a crime.,chatgpt_c2
indispensable,C2,/ˌɪn.dɪˈspen.sə.bəl/,Absolutely necessary.,chatgpt_c2
indolent,C2,/ˈɪn.də.lənt/,Avoiding activity or exertion.,chatgpt_c2
indulgent,C2,/ɪnˈdʌl.dʒənt/,Allowing oneself or others pleasure.,chatgpt_c2
ineffable,C2,/ɪˈnef.ə.bəl/,Too great to be expressed in words.,chatgpt_c2
inept,C2,/ɪˈnept/,Lacking skill.,chatgpt_c2
inexorable,C2,/ɪnˈek.sər.ə.bəl/,Impossible to stop or prevent.,chatgpt_c2
infallible,C2,/ɪnˈfæl.ə.bəl/,Incapable of making mistakes.,chatgpt_c2
ingenuous,C2,/ɪnˈdʒen.ju.əs/,Innocent and honest in a simple way.,chatgpt_c2
inimical,C2,/ɪˈnɪm.ɪ.kəl/,Harmful or hostile.,chatgpt_c2
innocuous,C2,/ɪˈnɒk.ju.əs/,Not harmful.,chatgpt_c2
inordinate,C2,/ɪnˈɔː.dɪ.nət/,Greater than usual or expected.,chatgpt_c2
insatiable,C2,/ɪnˈseɪ.ʃə.bəl/,Impossible to satisfy.,chatgpt_c2
insidious,C2,/ɪnˈsɪd.i.əs/,Gradually causing harm in a subtle way.,chatgpt_c2
insipid,C2,/ɪnˈsɪp.ɪd/,Lacking flavour or interest.,chatgpt_c2
insolent,C2,/ˈɪn.sə.lənt/,Rude and showing lack of respect.,chatgpt_c2
insular,C2,/ˈɪn.sjʊ.lər/,Narrow minded or isolated.,chatgpt_c2
intelligible,C2,/ɪnˈtel.ɪ.dʒə.bəl/,Able to be understood.,chatgpt_c2
intermittent,C2,/ˌɪn.təˈmɪt.ənt/,Occurring at intervals.,chatgpt_c2
intransigent,C2,/ɪnˈtræn.sɪ.dʒənt/,Unwilling to change opinions.,chatgpt_c2
intrepid,C2,/ɪnˈtrep.ɪd/,Fearless and adventurous.,chatgpt_c2
intricate,C2,/ˈɪn.trɪ.kət/,Very complex.,chatgpt_c2
inundate,C2,/ˈɪn.ʌn.deɪt/,To overwhelm with a large amount.,chatgpt_c2
invasive,C2,/ɪnˈveɪ.sɪv/,Spreading harmfully.,chatgpt_c2
inveterate,C2,/ɪnˈvet.ər.ət/,Long established and unlikely to change.,chatgpt_c2
irascible,C2,/ɪˈræs.ə.bəl/,Easily angered.,chatgpt_c2
irksome,C2,/ˈɜːk.səm/,Annoying.,chatgpt_c2
ironical,C2,/aɪˈrɒn.ɪ.kəl/,Expressing irony.,chatgpt_c2
irreverent,C2,/ɪˈrev.ər.ənt/,Showing lack of respect.,chatgpt_c2
jaded,C2,/ˈdʒeɪ.dɪd/,Tired or bored.,chatgpt_c2
judicious,C2,/dʒuːˈdɪʃ.əs/,Showing good judgement.,chatgpt_c2
juxtapose,C2,/ˌdʒʌk.stəˈpəʊz/,To place side by side for comparison.,chatgpt_c2
knack,C2,/næk/,A special skill.,chatgpt_c2
laconic,C2,/ləˈkɒn.ɪk/,Using very few words.,chatgpt_c2
lament,C2,/ləˈment/,To express sorrow.,chatgpt_c2
languid,C2,/ˈlæŋ.ɡwɪd/,Lacking energy.,chatgpt_c2
largesse,C2,/lɑːˈʒes/,Generosity in giving money or gifts.,chatgpt_c2
latent,C2,/ˈleɪ.tənt/,Existing but not yet visible.,chatgpt_c2
laudable,C2,/ˈlɔː.də.bəl/,Deserving praise.,chatgpt_c2
lax,C2,/læks/,Not strict.,chatgpt_c2
lethargic,C2,/ləˈθɑː.dʒɪk/,Sluggish and lacking energy.,chatgpt_c2
levity,C2,/ˈlev.ɪ.ti/,Humour in serious situations.,chatgpt_c2
loquacious,C2,/ləˈkweɪ.ʃəs/,Very talkative.,chatgpt_c2
lucid,C2,/ˈluː.sɪd/,Clear and easy to understand.,chatgpt_c2
lucidity,C2,/luːˈsɪd.ɪ.ti/,Clarity of thought.,chatgpt_c2
lucrative,C2,/ˈluː.krə.tɪv/,Producing much profit.,chatgpt_c2
lukewarm,C2,/ˌluːkˈwɔːm/,Showing little enthusiasm.,chatgpt_c2
lurid,C2,/ˈlʊə.rɪd/,Shocking or sensational.,chatgpt_c2
magnanimous,C2,/mæɡˈnæn.ɪ.məs/,Generous and forgiving.,chatgpt_c2
magnify,C2,/ˈmæɡ.nɪ.faɪ/,To make appear larger.,chatgpt_c2
malevolent,C2,/məˈlev.əl.ənt/,Wishing harm to others.,chatgpt_c2
malign,C2,/məˈlaɪn/,To speak badly of.,chatgpt_c2
malleable,C2,/ˈmæl.i.ə.bəl/,Easily influenced or changed.,chatgpt_c2
maverick,C2,/ˈmæv.ər.ɪk/,An independent thinker.,chatgpt_c2
meander,C2,/miˈæn.dər/,To wander aimlessly.,chatgpt_c2
mediocre,C2,/ˌmiː.diˈəʊ.kər/,Of average quality.,chatgpt_c2
mendacious,C2,/menˈdeɪ.ʃəs/,Not telling the truth.,chatgpt_c2
mercenary,C2,/ˈmɜː.sən.ər.i/,Motivated by money.,chatgpt_c2
meticulous,C2,/məˈtɪk.jʊ.ləs/,Showing great attention to detail.,chatgpt_c2
misanthropic,C2,/ˌmɪs.ənˈθrɒp.ɪk/,Disliking humankind.,chatgpt_c2
misconstrue,C2,/ˌmɪs.kənˈstruː/,To interpret wrongly.,chatgpt_c2
mitigate,C2,/ˈmɪt.ɪ.ɡeɪt/,To reduce severity.,chatgpt_c2
modicum,C2,/ˈmɒd.ɪ.kəm/,A small amount.,chatgpt_c2
moot,C2,/muːt/,Open to debate.,chatgpt_c2
moribund,C2,/ˈmɒr.ɪ.bʌnd/,Near death or decline.,chatgpt_c2
morose,C2,/məˈrəʊs/,Gloomy and sad.,chatgpt_c2
multifaceted,C2,/ˌmʌl.tiˈfæs.ɪ.tɪd/,Having many aspects.,chatgpt_c2
mundane,C2,/mʌnˈdeɪn/,Ordinary and lacking excitement.,chatgpt_c2
myriad,C2,/ˈmɪr.i.əd/,A very large number.,chatgpt_c2
nascent,C2,/ˈneɪ.sənt/,Just beginning to exist.,chatgpt_c2
nebulous,C2,/ˈneb.jʊ.ləs/,Vague and unclear.,chatgpt_c2
nefarious,C2,/nɪˈfeə.ri.əs/,Wicked or criminal.,chatgpt_c2
negligible,C2,/ˈneɡ.lɪ.dʒə.bəl/,So small as to be unimportant.,chatgpt_c2
neophyte,C2,/ˈniː.ə.faɪt/,A beginner.,chatgpt_c2
nettlesome,C2,/ˈnet.əl.səm/,Annoying or irritating.,chatgpt_c2
noisome,C2,/ˈnɔɪ.səm/,Unpleasant or harmful.,chatgpt_c2
nonchalant,C2,/ˈnɒn.ʃə.lənt/,Calm and unconcerned.,chatgpt_c2
nonplussed,C2,/ˌnɒnˈplʌst/,Confused and unsure.,chatgpt_c2
notional,C2,/ˈnəʊ.ʃən.əl/,Existing only in theory.,chatgpt_c2
nuance,C2,/ˈnjuː.ɑːns/,A subtle difference in meaning.,chatgpt_c2
nuanced,C2,/ˈnjuː.ɑːnst/,Showing subtle differences.,chatgpt_c2
obdurate,C2,/ˈɒb.djʊ.rət/,Stubbornly refusing change.,chatgpt_c2
obfuscate,C2,/ˈɒb.fʌs.keɪt/,To make something unclear.,chatgpt_c2
obsequious,C2,/əbˈsiː.kwi.əs/,Too eager to please.,chatgpt_c2
obstinate,C2,/ˈɒb.stɪ.nət/,Refusing to change opinion.,chatgpt_c2
obviate,C2,/ˈɒb.vi.eɪt/,To remove a need.,chatgpt_c2
occlude,C2,/əˈkluːd/,To block or close up.,chatgpt_c2
odious,C2,/ˈəʊ.di.əs/,Extremely unpleasant.,chatgpt_c2
officious,C2,/əˈfɪʃ.əs/,Too eager to control others.,chatgpt_c2
ominous,C2,/ˈɒm.ɪ.nəs/,Suggesting something bad will happen.,chatgpt_c2
onerous,C2,/ˈəʊ.nər.əs/,Difficult and burdensome.,chatgpt_c2
opprobrium,C2,/əˈprəʊ.bri.əm/,Harsh criticism.,chatgpt_c2
opulent,C2,/ˈɒp.jʊ.lənt/,Rich and luxurious.,chatgpt_c2
ordain,C2,/ɔːˈdeɪn/,To officially appoint.,chatgpt_c2
orthodox,C2,/ˈɔː.θə.dɒks/,Conforming to tradition.,chatgpt_c2
ostensible,C2,/ɒˈsten.sə.bəl/,Appearing true but not real.,chatgpt_c2
outstrip,C2,/ˌaʊtˈstrɪp/,To surpass.,chatgpt_c2
overarching,C2,/ˌəʊ.vərˈɑː.tʃɪŋ/,Including everything or most things.,chatgpt_c2
overstate,C2,/ˌəʊ.vəˈsteɪt/,To exaggerate.,chatgpt_c2
palatable,C2,/ˈpæl.ə.tə.bəl/,Acceptable or agreeable.,chatgpt_c2
panacea,C2,/ˌpæn.əˈsiː.ə/,A solution for all problems.,chatgpt_c2
paradoxical,C2,/ˌpær.əˈdɒk.sɪ.kəl/,Seemingly contradictory but true.,chatgpt_c2
paragon,C2,/ˈpær.ə.ɡɒn/,A perfect example.,chatgpt_c2
parochial,C2,/pəˈrəʊ.ki.əl/,Narrow in outlook.,chatgpt_c2
parsimonious,C2,/ˌpɑː.sɪˈməʊ.ni.əs/,Unwilling to spend money.,chatgpt_c2
partiality,C2,/ˌpɑː.ʃiˈæl.ə.ti/,Bias in favour.,chatgpt_c2
paucity,C2,/ˈpɔː.sɪ.ti/,A lack of something.,chatgpt_c2
pedantic,C2,/pɪˈdæn.tɪk/,Overly concerned with minor details.,chatgpt_c2
pejorative,C2,/pɪˈdʒɒr.ə.tɪv/,Expressing contempt or disapproval.,chatgpt_c2
penchant,C2,/ˈpɒ̃.ʃɒ̃/,A strong liking.,chatgpt_c2
